"gene"	"mRNA len"	"genomic span"	"DC_normal"	"DC_treated"	"DC0904"	"DC0907"	"DCLPS0910"	"DCLPS0913"	"A_DC"	"A_DC_LPS"	"B_DC"	"B_DC_LPS"	"C_DC"	"C_DC_LPS"	"C2DC"	"C2DCLPS"	"C3DC"	"C3DCLPS"
"MTHFS"	887	52052	0	0	0	0	0	0	0	99	0	0	9	28	40	58	40	50
"MTHFSD"	3116	25060	258	57	137	121	38	19	470	220	165	172	421	288	333	151	459	172
"MTIF2"	2964	32559	709	700	397	312	412	288	409	203	69	369	2459	2935	868	778	950	631
"MTIF3"	2093	6028	724	0	426	298	0	0	354	22	109	43	1395	1054	1439	923	1806	922
"MTK1"	5602	125596	3669	28556	2055	1614	15444	13112	1521	11759	122	8348	845	2337	1165	2878	1404	1311
"MTL5"	3631	15390	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
"MTM"	505	1138	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
"MTM1"	3449	104569	3643	313	2146	1497	129	184	2431	274	401	350	1119	1162	1071	790	1154	776
"MTMR1"	4368	71530	1546	159	828	718	66	93	841	57	237	85	1084	1008	975	713	1228	818
"MTMR10"	5694	52658	12853	2636	6649	6204	1418	1218	5978	735	7831	1328	5217	4438	5423	3358	7202	897
"MTMR11"	2875	8249	0	0	0	0	0	0	31	0	0	0	0	0	9	3	10	6
"MTMR12"	5202	86004	3192	286	1797	1395	221	65	1961	322	1622	547	1757	1551	1729	1063	2265	1227
"MTMR14"	2515	52934	11906	19231	6590	5316	10362	8869	3713	8655	6488	29458	3554	7030	4699	7169	5883	7231
"MTMR15"	5050	39233	3364	896	1364	2000	488	408	904	265	1567	556	4489	3888	4339	2950	5703	516
"MTMR2"	4878	91327	25	271	0	25	160	111	96	244	28	21	435	417	571	519	397	305
"MTMR3"	9010	147699	6893	3160	3931	2962	1855	1305	3622	1877	1610	4207	2019	1967	2396	1836	2846	1646
"MTMR4"	5848	28360	1451	587	811	640	337	250	668	190	484	240	1724	1324	1161	982	2577	1039
"MTMR6"	5226	41363	1486	337	882	604	193	144	804	221	62	350	2449	2883	2032	1657	2209	1519
"MTMR7"	5299	116734	1025	536	605	420	302	234	547	350	74	113	681	692	592	321	654	394
"MTMR8"	2652	127351	51	0	18	33	0	0	11	0	0	0	9	5	3	9	4	4
"MTMR9"	7466	43654	1158	455	699	459	279	176	753	447	0	496	620	840	724	637	807	513
"MTMR9L"	2722	10051	0	0	0	0	0	0	48	19	0	0	0	0	0	0	0	0
"MTND5"	2309	2309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MTNR1A"	1107	21730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MTNR1B"	1664	13161	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
"MTO1"	3055	39725	361	5	202	159	5	0	265	43	109	6	805	737	901	649	793	647
"MTOR"	8782	156021	1961	991	1037	924	515	476	1477	747	830	1136	1811	1888	2159	2125	2601	1693
"MTP18"	1173	3323	531	46	349	182	19	27	371	122	77	113	398	508	478	559	677	481
"MTPAP"	7335	64648	583	146	293	290	77	69	241	208	99	354	617	638	585	401	774	404
"MTPN"	3886	50701	2876	1675	1667	1209	903	772	1561	1023	302	1142	8173	9243	7738	6398	9022	5916
"MTR"	10590	108701	2650	1255	1518	1132	720	535	1690	748	232	630	1308	1371	1395	1082	1270	781
"MTRF1"	2554	47105	125	32	65	60	24	8	109	37	0	0	270	310	312	240	321	196
"MTRF1L"	3884	15526	154	50	90	64	14	36	111	36	0	0	291	242	487	467	587	370
"MTRR"	3311	32018	2459	1567	1379	1080	863	704	1029	658	523	1509	1363	1444	1509	1315	1954	1084
"MTSS1"	5034	177704	2298	584	1272	1026	329	255	3143	1757	707	2495	1425	1727	523	215	899	592
"MTSS1L"	4991	24848	305	63	163	142	34	29	217	138	0	16	6	40	67	80	137	26
"MTTP"	4108	59915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MTUS1"	6433	157124	49	0	27	22	0	0	48	11	0	0	315	294	601	540	302	338
"MTVR2"	813	813	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
"MTX1"	1648	5134	98	0	27	71	0	0	172	51	83	111	515	438	335	381	2745	1481
"MTX2"	1601	68630	2959	176	1663	1296	137	39	1503	87	637	95	246	522	518	471	604	445
"MTX3"	7941	14549	107	0	73	34	0	0	133	0	0	0	358	291	338	51	336	75
"MUC 5AC"	4052	16477	59	0	36	23	0	0	185	150	0	42	1	0	0	0	0	0
"MUC1"	1775	4384	3	0	0	3	0	0	7	11	0	0	1	7	0	9	3	15
"MUC12"	2088	14143	0	76	0	0	27	49	22	104	0	97	0	46	0	0	0	9
"MUC13"	2873	29293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MUC15"	3396	13237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MUC16"	43899	132499	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
"MUC17"	14363	38778	0	0	0	0	0	0	62	10	0	0	0	0	0	0	0	0
"MUC2"	8674	29544	0	1	0	0	0	1	451	212	0	0	0	0	0	0	0	0
"MUC20"	6448	13443	92	30	49	43	30	0	126	32	0	96	32	27	70	152	111	83
"MUC21"	3839	6392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MUC3A"	3938	60363	0	2	0	0	0	2	171	80	0	0	0	0	0	0	0	0
"MUC3B"	2496	57624	0	2	0	0	0	2	171	80	0	0	0	0	0	0	0	0
"MUC4"	16748	65510	6	3	2	4	1	2	216	101	0	0	0	0	0	0	0	0
"MUC5AC"	18817	146254	541	253	309	232	151	102	1109	738	87	243	47	57	0	0	0	0
"MUC5B"	17973	39112	188	111	102	86	37	74	533	415	0	42	1	0	0	0	0	0
"MUC6"	8036	23884	4057	1264	2211	1846	707	557	1577	869	457	394	0	1	0	0	19	0
"MUC7"	2544	52506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MUCDHL"	539	1867	0	0	0	0	0	0	32	11	41	0	0	0	0	0	0	0
"MUCL1"	491	3875	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"MUDENG"	3144	21192	1109	179	600	509	72	107	541	70	0	38	2349	2181	1597	1115	1845	1101
"MUL1"	2460	8733	100	24	55	45	0	24	61	65	74	15	857	620	932	92	1321	133
"MUM1"	4228	22109	517	87	314	203	43	44	296	61	120	8	684	594	735	526	892	483
"MUM1L1"	4176	40652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MUPCDH"	3645	8492	349	12	271	78	0	12	206	108	21	0	0	0	0	0	3	0
"MURC"	2625	9837	9	0	9	0	0	0	8	0	0	0	0	13	0	3	0	0
"MUS81"	2414	6042	574	182	333	241	99	83	429	288	254	567	906	869	966	1077	1400	879
"MUSK"	2732	132193	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
"MUSTN1"	1130	3891	120	100	56	64	60	40	409	67	0	0	27	0	52	17	115	19
"MUT"	2968	32039	0	0	0	0	0	0	50	14	0	0	534	662	650	665	674	546
"MUTED"	2466	50432	228	0	155	73	0	0	257	0	38	25	75	66	404	182	562	324
"MUTYH"	1945	11229	33	21	13	20	12	9	34	35	0	30	136	78	209	184	242	161
"MVD"	2353	5328	1040	1073	555	485	607	466	339	638	86	1531	1285	1109	536	1051	1838	1616
"MVK"	2083	23572	378	153	188	190	74	79	342	253	85	156	508	430	450	353	781	463
"MVP"	2850	27557	3152	1004	1634	1518	548	456	1192	648	1906	902	3591	3731	4047	2809	7024	2196
"MX1"	3410	38622	605	727	356	249	345	382	1184	2040	79	629	810	1909	1748	307	779	947
"MX2"	4073	5285	1762	4686	981	781	2533	2153	1038	3475	110	1670	1037	3106	1702	788	800	795
"MXD1"	5775	27873	2286	5713	1297	989	3039	2674	843	2024	333	2680	1787	4498	1913	3417	2167	2932
"MXD3"	2668	6793	259	72	135	124	56	16	99	134	0	46	514	1072	1159	1249	1562	1126
"MXD4"	3779	14581	1678	208	929	749	94	114	735	216	2051	361	2519	1310	3601	1457	5149	2010
"MXI1"	3474	79760	406	24	230	176	11	13	737	7	34	0	780	885	944	801	1013	758
"MXRA5"	9797	38075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MXRA7"	2508	35249	1	0	0	1	0	0	248	46	0	0	13	16	0	0	32	0
"MXRA8"	2738	9087	492	315	247	245	167	148	255	195	681	412	64	117	282	235	466	293
"MYADM"	3215	6903	36	0	36	0	0	0	16	62	47	198	1683	1559	1384	1748	1325	1248
"MYADML2"	2455	7590	0	0	0	0	0	0	11	28	0	0	0	0	0	0	0	0
"MYB"	3810	37862	0	6	0	0	0	6	4	0	0	0	21	35	37	56	35	22
"MYBBP1A"	4593	16491	274	50	153	121	36	14	302	160	164	18	661	524	661	575	940	676
"MYBL1"	5203	51071	0	5	0	0	0	5	0	0	3	8	19	77	13	3	41	4
"MYBL2"	2727	49415	4	0	3	1	0	0	21	41	0	0	4	2	0	0	10	4
"MYBPC1"	3967	90912	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"MYBPC2"	3626	33425	0	0	0	0	0	0	162	67	0	0	3	1	0	0	0	0
"MYBPC3"	4250	21297	109	37	53	56	26	11	193	256	49	148	5	8	46	90	72	68
"MYBPH"	1817	8005	0	0	0	0	0	0	50	81	0	0	0	2	0	0	0	0
"MYBPHL"	1381	14678	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0
"MYC"	2367	5365	1202	375	625	577	210	165	2092	1307	831	1429	1491	567	1800	908	2030	706
"MYCBP"	2095	10415	809	56	443	366	16	40	590	70	539	92	836	992	724	562	261	618
"MYCBP2"	14818	282386	6981	3807	3754	3227	2230	1577	5080	2828	1384	2870	2154	2962	3506	3314	3294	2082
"MYCBPAP"	3208	23118	1	0	1	0	0	0	51	22	0	0	0	0	0	0	0	0
"MYCL1"	3624	6591	406	52	269	137	52	0	220	0	100	26	2288	912	2379	106	4046	1425
"MYCN"	2607	6447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYCNOS"	773	1827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYCT1"	3043	26685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYD88"	2876	4543	301	25	146	155	25	0	61	107	59	55	2443	2265	3685	3064	3249	2772
"MYEF2"	5418	38929	0	0	0	0	0	0	3	0	0	0	4	36	0	3	0	0
"MYEOV"	2383	3133	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
"MYEOV2"	764	9786	74	0	48	26	0	0	61	50	0	20	387	370	453	441	665	439
"MYF5"	1523	2741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYF6"	1297	1807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYH1"	6059	26233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYH10"	7753	156506	1533	2292	879	654	1111	1181	732	1156	166	1920	35	268	0	1	6	5
"MYH10 variant protein"	451	28027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYH11"	6983	153895	1192	135	712	480	63	72	863	337	550	176	512	450	492	324	696	393
"MYH13"	6033	72141	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
"MYH14"	6955	106918	0	2	0	0	2	0	208	113	0	0	0	3	0	0	0	0
"MYH15"	7116	148955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYH16"	2281	24670	1	0	1	0	0	0	22	0	0	0	0	1	0	0	0	0
"MYH2"	6122	28473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYH3"	6057	27624	0	0	0	0	0	0	17	0	0	0	10	10	6	8	40	13
"MYH4"	6053	26268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYH6"	5976	26285	0	0	0	0	0	0	205	76	0	0	0	0	0	0	0	0
"MYH7"	6069	22924	0	0	0	0	0	0	58	45	0	0	0	0	0	0	0	0
"MYH7B"	6332	27032	463	49	436	27	19	30	184	222	0	26	1355	3	0	0	0	0
"MYH8"	6078	31627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYH9"	7545	106741	24654	25236	13614	11040	12961	12275	7091	17827	16106	38127	23990	21370	26520	20548	37607	24594
"MYL1"	1058	25028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYL10"	1016	15972	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0
"MYL12A"	1227	8702	785	1026	436	349	524	502	401	515	226	598	10554	9376	8609	10009	16210	11807
"MYL12B"	1027	15671	494	779	258	236	418	361	280	462	0	286	3615	6707	5985	4992	6435	4627
"MYL2"	834	9780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYL3"	936	5618	0	0	0	0	0	0	155	57	0	0	0	0	0	0	0	0
"MYL4"	915	14618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYL5"	2964	8449	6207	1988	3263	2944	1054	934	1873	1192	5081	3161	1342	1574	1862	1726	3025	1909
"MYL6"	1692	3169	893	0	1	892	0	0	0	907	604	2185	13691	17146	21368	23506	24897	19992
"MYL6B"	1302	3693	0	0	0	0	0	0	74	23	0	0	39	75	81	79	81	67
"MYL7"	602	2453	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
"MYL9"	1191	8331	16	11	11	5	11	0	14	87	0	170	727	436	726	888	720	714
"MYLIP"	3076	19161	2844	1438	1575	1269	744	694	1923	831	1028	182	1467	974	1266	764	2138	866
"MYLK"	7868	272006	113	0	72	41	0	0	237	9	0	0	93	66	63	3	74	4
"MYLK2"	2806	15324	0	0	0	0	0	0	46	9	0	4	0	0	0	0	0	0
"MYLK3"	8009	46027	0	0	0	0	0	0	34	12	0	0	2	0	0	0	0	0
"MYLK4"	5772	87292	17	0	8	9	0	0	86	0	0	0	57	39	12	4	4	4
"MYLPF"	662	3189	0	0	0	0	0	0	50	0	0	0	10	11	7	17	15	13
"MYNN"	3207	14484	312	138	150	162	44	94	201	78	0	54	573	601	603	448	570	317
"MYO10"	11470	274370	0	170	0	0	93	77	97	388	0	27	5	0	3	4	0	0
"MYO15A"	11927	71097	13	0	13	0	0	0	829	244	0	0	91	37	88	62	165	94
"MYO15B"	6182	27828	3937	1956	2225	1712	966	990	1605	1349	5985	4772	620	811	2282	2677	1974	1164
"MYO16"	7472	578787	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
"MYO18A"	7625	106881	16422	3636	7971	8451	1829	1807	6943	1880	18631	2568	5297	5742	11678	8202	18398	10779
"MYO18B"	8609	288889	4	0	0	4	0	0	75	26	0	0	0	0	0	0	0	0
"MYO19"	5448	39441	787	196	429	358	161	35	559	233	69	199	716	710	890	574	906	701
"MYO1A"	3648	21601	1	3	1	0	3	0	0	40	0	0	0	1	0	0	0	0
"MYO1B"	5126	180010	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
"MYO1C"	4982	28521	1555	1195	807	748	623	572	818	1159	992	1985	3945	2509	2449	3233	3676	2719
"MYO1D"	5204	384276	1882	622	1141	741	339	283	384	129	76	30	579	525	257	213	379	254
"MYO1E"	4742	236509	44516	62051	25080	19436	33314	28737	14595	28840	21544	53699	2382	2486	2577	2966	3980	3560
"MYO1F"	3852	56310	12180	3146	6757	5423	1732	1414	3857	1266	14191	3419	11047	8588	12343	9655	15665	10142
"MYO1F variant protein"	1693	31981	7317	2009	4278	3039	1102	907	2335	780	9049	2375	4592	3869	5539	4767	8276	4680
"MYO1G"	5536	12568	324	2560	208	116	1290	1270	178	1494	0	3033	284	759	381	817	417	438
"MYO1H"	4289	59654	54	0	21	33	0	0	86	41	0	9	9	10	4	6	0	0
"MYO3A"	5819	278465	0	0	0	0	0	0	24	10	0	0	0	0	0	0	0	0
"MYO3B"	5588	476330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYO5A"	12266	221769	13652	4498	7678	5974	2364	2134	7016	2458	3957	2219	4277	5129	5340	5331	5926	3593
"MYO5B"	9560	372297	99	0	57	42	0	0	307	12	0	0	2	2	0	0	0	0
"MYO5C"	6987	103453	0	0	0	0	0	0	46	9	0	16	3	0	0	0	0	0
"MYO6"	8697	170347	0	0	0	0	0	0	14	0	0	0	2	0	4	0	4	5
"MYO7A"	7514	86978	0	0	0	0	0	0	400	305	0	0	2	4	7	31	43	17
"MYO7B"	6761	101926	2	164	0	2	60	104	382	472	0	66	0	13	0	7	0	0
"MYO9A"	8887	157164	2032	855	1171	861	493	362	1664	773	304	607	595	1603	750	673	763	422
"MYO9B"	7662	137514	20640	8998	11398	9242	4837	4161	7433	5840	20089	13924	8359	8056	13973	13561	14933	11074
"MYO9B variant protein"	2188	6607	2899	1683	1549	1350	844	839	1099	763	2209	1134	4685	4204	7191	6823	7569	5753
"MYOC"	2046	17216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYOCD"	6964	101446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYOD1"	1808	2569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYOF"	6896	175889	8553	18459	4853	3700	9979	8480	3580	6559	2646	6506	5679	6414	6680	6056	9271	7223
"MYOG"	1745	3120	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
"MYOM1"	5884	153302	30	0	26	4	0	0	64	21	25	13	129	193	136	109	188	120
"MYOM2"	5047	100223	13	0	7	6	0	0	119	20	0	0	9	16	56	51	32	36
"MYOM3"	5836	56135	1	0	0	1	0	0	181	40	0	0	0	0	0	0	0	0
"MYOT"	2281	19996	3087	3451	1892	1195	1886	1565	2823	1836	857	3222	3589	3766	3462	3255	4795	3173
"MYOZ1"	1544	10102	0	0	0	0	0	0	11	0	0	0	10	5	23	24	13	14
"MYOZ2"	2594	51998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYOZ3"	3838	18523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYPN"	6030	102779	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"MYPOP"	1888	12581	278	174	165	113	95	79	138	185	113	1225	179	429	55	297	344	317
"MYR12"	699	13673	1440	1057	870	570	585	472	894	482	397	517	565	416	526	388	423	391
"MYRIP"	4879	450503	81	95	47	34	54	41	437	143	0	263	1	0	1	0	2	0
"MYSM1"	4468	13971	4075	2292	1937	2138	1298	994	1308	1182	777	1720	572	847	711	628	561	255
"MYST1"	2457	5760	1355	544	749	606	321	223	455	310	763	531	1972	1307	1125	649	1350	667
"MYST2"	3947	39649	1201	478	628	573	246	232	911	292	438	508	868	740	1344	739	1501	899
"MYST3"	9302	122509	8633	5695	4825	3808	3069	2626	3720	3173	1887	4493	2127	1973	2357	1474	2681	1384
"MYST4"	8568	206262	5458	4561	3066	2392	2552	2009	2660	2135	928	3803	955	1111	1040	923	1097	659
"MYT1"	5556	77779	0	0	0	0	0	0	432	233	0	0	0	1	0	0	0	0
"MYT1L"	7165	542160	0	0	0	0	0	0	291	131	0	0	0	0	0	0	0	0
"MZF1"	2926	11659	2684	1490	1456	1228	784	706	992	618	2596	1599	875	829	1078	480	1554	859
"MacGAP"	3387	133131	42954	15293	17212	25742	10774	4519	24374	4710	20309	3592	5918	7556	6267	5791	6756	3659
"Magmas"	3073	67434	6979	1821	3735	3244	1018	803	2905	1747	5860	2721	3869	3637	4500	4141	6683	4521
"Mib"	958	1112	960	92	944	16	75	17	886	1	125	1	2638	2913	1713	1871	1661	180
"Mob3"	2780	36744	565	144	265	300	88	56	269	235	46	296	546	653	645	685	764	568
"N-TAF1"	2394	123768	1551	558	749	802	332	226	817	290	449	1180	1055	1331	883	633	1061	717
"N-Tes"	2943	501207	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"N4BP1"	7111	71483	24354	47853	13495	10859	25961	21892	8650	22605	10257	40169	5871	13578	6164	13078	7323	9292
"N4BP2"	6921	98495	567	147	317	250	99	48	453	133	78	33	940	1380	793	888	620	325
"N4BP2L1"	3051	27456	1008	6836	516	492	3636	3200	569	3887	67	4443	558	4270	745	4925	656	2507
"N4BP2L2"	2844	21903	14954	12368	8397	6557	6876	5492	6911	4264	7521	7260	3610	4561	3142	2752	3676	2057
"N4BP3"	5992	12553	5	21	5	0	11	10	0	96	0	32	5	27	0	50	9	9
"N6AMT1"	4871	13182	0	0	0	0	0	0	18	0	0	0	26	0	28	23	30	16
"N6AMT2"	877	44986	0	0	0	0	0	0	22	0	0	0	14	18	29	34	32	30
"NAAA"	1873	27358	5450	691	2987	2463	328	363	2458	129	4212	487	8356	7653	6703	4613	8068	3672
"NAALAD2"	3206	57954	70	134	62	8	71	63	66	51	0	17	36	0	0	0	0	0
"NAALADL1"	2703	13714	0	0	0	0	0	0	59	15	0	0	161	8	174	0	47	114
"NAALADL2"	4924	946317	115	21	69	46	21	0	369	0	0	0	0	2	0	0	4	0
"NAB1"	4478	43645	3219	3227	1749	1470	1712	1515	1439	1822	745	2012	1390	2084	1533	1307	2099	1048
"NAB2"	2717	6583	2573	2609	1367	1206	327	2282	604	473	1502	5288	6592	1090	8234	8026	1571	8321
"NACA"	6639	13117	960	732	547	413	418	314	477	404	685	886	2771	3122	7334	6966	7687	5425
"NACA2"	771	771	0	0	0	0	0	0	0	0	0	0	721	821	0	0	0	0
"NACAD"	4768	8458	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0
"NACAP1"	704	704	0	0	0	0	0	0	0	0	0	0	242	0	0	0	1202	0
"NACC1"	4496	22851	1691	274	954	737	114	160	802	620	1491	1240	2138	1657	2507	1671	3242	2008
"NACC2"	2083	83928	2445	187	1473	972	131	56	1468	710	2458	1018	64	81	221	226	269	169
"NADC3"	3907	93637	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0
"NADK"	3660	28832	1847	1554	1022	825	849	705	922	959	1350	2748	1735	1514	1293	1208	3627	855
"NADSYN1"	3644	46425	2434	760	1309	1125	385	375	1537	730	905	1023	1992	1832	2024	1705	2844	1578
"NAE1"	1931	28099	245	0	134	111	0	0	124	47	0	9	613	605	612	411	676	433
"NAF1"	3305	51491	17822	64163	9821	8001	29367	34796	2292	242	3312	99065	2665	7819	3525	15458	4242	5658
"NAG"	7137	394424	2498	1306	1420	1078	778	528	2643	1284	414	1020	1036	1198	1358	1238	1545	911
"NAG-7"	2114	2114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAG11"	3218	35379	329	275	180	149	109	166	141	94	97	122	4	4	63	7	46	1
"NAG8"	2570	2570	540	520	310	230	243	277	363	409	137	399	0	0	0	0	0	0
"NAGA"	3734	12509	2925	636	1628	1297	346	290	1135	363	2481	501	12147	2716	3666	2564	4907	9163
"NAGK"	2998	9991	5250	1356	2892	2358	723	633	1869	302	3122	736	3745	2816	6136	3276	10176	5317
"NAGLU"	2786	8515	395	13	187	208	0	13	247	35	534	64	1079	581	1638	1170	1819	1327
"NAGPA"	2315	9092	1983	258	1080	903	159	99	731	215	1440	262	4246	2316	4733	2873	6675	3047
"NAGS"	2102	4405	0	0	0	0	0	0	33	0	0	0	96	4	69	0	110	15
"NAIF1"	3399	6088	10	0	0	10	0	0	54	9	0	0	363	175	352	109	393	199
"NAIP"	6568	56633	1452	453	795	657	251	202	866	205	848	368	3342	4050	13762	9552	13573	7271
"NALCN"	6967	362685	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0	0
"NALP12"	3525	30793	0	0	0	0	0	0	14	0	0	0	0	3	13	12	4	0
"NAMPT"	4590	36906	3263	25202	1802	1461	8726	16476	158	6101	0	12602	660	12923	1307	8772	1140	2823
"NANOG"	2102	6662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NANOGP1"	1180	26364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NANOS1"	4628	4628	63	240	27	36	149	91	122	0	0	60	0	2447	0	0	0	0
"NANOS2"	1563	1563	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
"NANOS3"	947	3622	0	0	0	0	0	0	83	15	0	0	0	0	0	0	0	0
"NANP"	3799	11075	11	0	0	11	0	0	35	56	0	0	310	235	376	310	370	232
"NANS"	1756	37477	1360	1069	780	580	574	495	630	681	401	288	581	826	2464	1543	2072	919
"NAP1L1"	5140	40068	3664	4040	2075	1589	2289	1751	1615	2057	1382	3497	2984	2943	5419	5035	7198	5019
"NAP1L2"	2531	2531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAP1L3"	2681	2681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAP1L4"	2638	47948	2970	1073	1627	1343	593	480	1650	537	890	1298	1236	1199	1599	1014	1925	1116
"NAP1L5"	1954	1954	190	23	106	84	23	0	186	33	117	98	9	15	0	9	0	0
"NAP1L6"	2045	2045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAP5"	1922	496873	334	357	194	140	176	181	205	102	0	0	0	0	4	3	8	0
"NAPA"	1853	27608	2278	2092	1121	1157	1135	957	990	1072	1478	1849	2538	2291	4310	3759	4498	3676
"NAPB"	3893	47001	805	0	426	379	0	0	776	0	193	41	205	130	256	105	67	101
"NAPEPLD"	5368	49548	162	0	87	75	0	0	268	0	0	0	508	473	360	248	393	150
"NAPG"	3871	13643	995	941	493	502	578	363	598	441	175	914	897	1063	826	768	785	513
"NAPOR-1"	4910	167158	42840	25079	23933	18907	13633	11446	17244	12122	23684	17865	4332	5149	4333	3209	5398	3446
"NAPRT1"	1887	3559	266	128	149	117	86	42	131	111	253	85	1029	699	1105	1017	1103	397
"NAPSA"	1400	7198	8	0	0	8	0	0	26	0	0	0	0	0	11	17	28	0
"NAPSB"	1337	10948	342	27	185	157	10	17	127	58	79	5	374	418	629	427	711	344
"NARF"	2114	26288	1014	201	534	480	110	91	539	179	196	71	707	664	784	838	1051	851
"NARFL"	3217	11165	338	29	172	166	13	16	347	155	185	117	532	360	502	347	700	365
"NARG1"	5574	89261	2426	4128	1443	983	2226	1902	1322	2662	356	3956	1402	1747	1606	1462	1619	1297
"NARG1L"	4367	65827	721	32	468	253	20	12	541	5	6	6	403	341	493	250	468	178
"NARG2"	7224	59537	326	0	184	142	0	0	504	13	0	17	559	626	712	491	699	438
"NARS"	2879	21285	1063	379	620	443	235	144	331	143	437	297	3168	4787	4008	3484	4228	2007
"NARS2"	2523	138894	130	0	68	62	0	0	220	9	15	5	286	337	327	302	344	248
"NASP"	3422	7455	846	288	461	385	148	140	473	139	112	173	650	755	1043	904	1640	835
"NAT1"	2337	13581	10	91	10	0	74	17	0	54	0	0	276	673	291	354	374	332
"NAT10"	4069	41348	228	147	142	86	104	43	484	210	135	219	632	615	822	844	925	805
"NAT11"	3407	17637	976	291	558	418	154	137	517	103	602	109	1023	1189	888	501	1565	777
"NAT12"	4481	22198	178	49	71	107	23	26	170	42	0	0	537	517	574	397	668	355
"NAT13"	3581	27257	2879	1951	1661	1218	1084	867	1236	1133	841	2192	406	601	444	328	423	287
"NAT14"	1316	2343	0	0	0	0	0	0	44	0	0	0	13	0	28	17	32	10
"NAT15"	2685	43296	2115	968	1135	980	471	497	1240	828	1480	1653	1501	1110	1720	1472	2448	1557
"NAT2"	1319	9970	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
"NAT5"	1084	16333	1097	732	552	545	386	346	522	360	381	334	1580	1730	1892	1412	1923	1385
"NAT6"	1890	3018	39	0	27	12	0	0	187	78	0	0	123	104	61	35	104	101
"NAT8"	1075	1689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAT8B"	829	833	0	0	0	0	0	0	0	0	0	0	17	0	28	0	0	0
